# Wettercode - "weatherng-sd & weatherng"
# http://edg3.co.uk/snippets/weather-location-codes/
#
# Deutschland 
# http://edg3.co.uk/snippets/weather-location-codes/germany/
#
# mango 06.08.2012
#
GMXX0786, Theilheim
GMXX0787, Pinnow
GMXX0788, Holzhausen
GMXX0789, Spalt
GMXX0790, Zscherndorf
GMXX0791, Rheine
GMXX0792, Oranienbaum
GMXX0793, Dittelsheim-Hessloch
GMXX0794, Grossenhain
GMXX0795, Winnenden
GMXX0796, Herzebrock-Clarholz
GMXX0797, Buxheim
GMXX0798, Bienenbuttel
GMXX0799, Altenholz
GMXX0800, Nattheim
GMXX0801, Geldersheim
GMXX0802, Konigsbach-Stein
GMXX0803, Gehren
GMXX0804, Korb
GMXX0805, Emsburen
GMXX0806, Frankleben
GMXX0807, Kochel
GMXX0808, Bawinkel
GMXX0809, Schkolen
GMXX0810, Glucksburg
GMXX0811, Rammingen
GMXX0812, Waldenburg
GMXX0813, Durlangen
GMXX0814, Elstal
GMXX0815, Ustersbach
GMXX0816, Neukirchen
GMXX0817, Mantel
GMXX0818, Winterspelt
GMXX0819, Bendorf
GMXX0820, Merkers-Kieselbach
GMXX0821, Miltzow
GMXX0822, Eisenhuttenstadt
GMXX0823, Untersiemau
GMXX0824, Glinde
GMXX0825, Harsleben
GMXX0826, Bad Doberan
GMXX0827, Erkenbrechtsweiler
GMXX0828, Wittmar
GMXX0829, Warder
GMXX0830, Brannenburg
GMXX0831, Seesbach
GMXX0832, Rodalben
GMXX0833, Knetzgau
GMXX0834, Hufingen
GMXX0835, Windbergen
GMXX0836, Clenze
GMXX0837, Bad Konigshofen i. Grabfe
GMXX0838, Hinzweiler
GMXX0839, Gremsdorf
GMXX0840, Wangerland
GMXX0841, Obernbreit
GMXX0842, Forchtenberg
GMXX0843, Osternienburg
GMXX0844, Gerbach
GMXX0845, Stockse
GMXX0846, Westerheim
GMXX0847, Bad Honnef
GMXX0848, Rudelzhausen
GMXX0849, Neubeuern
GMXX0850, Brande-Hornerkirchen
GMXX0851, Delbruck
GMXX0852, Balzheim
GMXX0853, Teltow
GMXX0854, Suderbrarup
GMXX0855, Wilster
GMXX0856, Lich
GMXX0857, Wermelskirchen
GMXX0858, Roding
GMXX0859, Nidda
GMXX0860, Molbergen
GMXX0861, Neckargemund
GMXX0862, Dobel
GMXX0863, Oberharmersbach
GMXX0864, Aussernzell
GMXX0865, Nortmoor
GMXX0866, Vellahn
GMXX0867, Hessigheim
GMXX0868, Altenstadt
GMXX0869, Neuberend
GMXX0870, Imsbach
GMXX0871, Hofgeismar
GMXX0872, Michelsneukirchen
GMXX0873, Ssxheim
GMXX0874, Rott
GMXX0875, Jarmen
GMXX0876, Bergrheinfeld
GMXX0877, Morschen
GMXX0878, Tann/Rhon
GMXX0879, Leiningen
GMXX0880, Jagel
GMXX0881, Calberlah
GMXX0882, Rhauderfehn
GMXX0883, Bernsbach
GMXX0884, Graal-Muritz
GMXX0885, Sibbesse
GMXX0886, Ahorntal
GMXX0887, Hornberg
GMXX0888, Hofkirchen
GMXX0889, Bad Kleinen
GMXX0890, Krempe
GMXX0891, Eslarn
GMXX0892, Johstadt
GMXX0893, Gaggenau
GMXX0894, Netzschkau
GMXX0895, Thalfang
GMXX0896, Gutach im Breisgau
GMXX0897, Rehlingen-Siersburg
GMXX0898, Lichtenberg
GMXX0899, Bad Endorf
GMXX0900, Niederaula
GMXX0901, Marxzell
GMXX0902, Rieste
GMXX0903, Vogelsen
GMXX0904, Neuenhaus
GMXX0905, Ederheim
GMXX0906, Heide
GMXX0907, Altdorf bei Nurnberg
GMXX0908, Schwendi
GMXX0909, Kastl
GMXX0910, Reher
GMXX0911, Calw
GMXX0912, Schopfloch
GMXX0913, Osterberg
GMXX0914, Hameln
GMXX0915, Bad Brambach
GMXX0916, Ellerhoop
GMXX0917, Jachenau
GMXX0918, Kranichfeld
GMXX0919, Lauter/Sachsen
GMXX0920, Kirrweiler
GMXX0921, Pfarrweisach
GMXX0922, Allmendingen
GMXX0923, Coswig
GMXX0924, Seebach
GMXX0925, Postmunster
GMXX0926, Dornburg
GMXX0927, Rheinfelden
GMXX0928, Mehlingen
GMXX0929, Tangstedt
GMXX0930, Friesenried
GMXX0931, Barendorf
GMXX0932, Lehnin
GMXX0933, Sankt Wendel
GMXX0934, Kandern
GMXX0935, Neudrossenfeld
GMXX0936, Himmelstadt
GMXX0937, Besigheim
GMXX0938, Ilfeld
GMXX0939, Braunlingen
GMXX0940, Rothenbach/Pegnitz
GMXX0941, Oberreute
GMXX0942, Ammerndorf
GMXX0943, Losheim
GMXX0944, Briedel
GMXX0945, Ahorn
GMXX0946, Hohenroth
GMXX0947, Ellingen
GMXX0948, Neuhaus/Rennweg
GMXX0949, Marktredwitz
GMXX0950, Langensendelbach
GMXX0951, Freiburg/Elbe
GMXX0952, Habach
GMXX0953, Bedburg
GMXX0954, Raunheim
GMXX0955, Wolpertshausen
GMXX0956, Schoneiche/Berlin
GMXX0957, Ilsede
GMXX0958, Volkertshausen
GMXX0959, Schonau an der Brend
GMXX0960, Heubach
GMXX0961, Stoetze
GMXX0962, Wallhausen
GMXX0963, Scheer
GMXX0964, Todendorf
GMXX0965, Konzell
GMXX0966, Amerdingen
GMXX0967, Bad Bellingen
GMXX0968, Kosslarn
GMXX0969, Hohenau
GMXX0970, Felsberg
GMXX0971, Tremsbuttel
GMXX0972, Jubek
GMXX0973, Eschenbach
GMXX0974, Wertheim
GMXX0975, Schallbach
GMXX0976, Schmallenberg
GMXX0977, Berga
GMXX0978, Brunstorf
GMXX0979, Siegbach
GMXX0980, Eimke
GMXX0981, Elsdorf
